"id","vuosi","indeksi","inflaatio","finunit","finconv","tuntiansio","voi","perunat","kahvi","viina","junalippu","sweconv","sweunit","rusconv","rusunit","ukconv","ukunit","usaconv","usaunit","gerconv","gerunit","fraconv","fraunit","finabbr","sweabbr","rusabbr","ukabbr","usaabbr","gerabbr","fraabbr"
"167","1976","448,8","14,4","Markka","5,94573","15,24","8,10","1,13","10,71","25,00","12,00","1,125","Kruunu","0,1951","Clearingrupla","0,14320","Punta","0,25880","Dollari","0,65028","Markka","1,2332","Frangi","FIM","SKR","SUR","GBP","USD","DEM","FRF"
"168","1977","505,4","12,6","Markka","5,94573","16,45","9,53","1,16","18,98","25,00","14,00","1,109","Kruunu","0,1826","Clearingrupla","0,14201","Punta","0,24820","Dollari","0,57422","Markka","1,2171","Frangi","FIM","SKR","SUR","GBP","USD","DEM","FRF"
"169","1978","543,8","7,6","Markka","5,94573","17,53","9,92","1,22","17,30","27,50","15,00","1,094","Kruunu","0,1656","Clearingrupla","0,12631","Punta","0,24290","Dollari","0,48655","Markka","1,0897","Frangi","FIM","SKR","SUR","GBP","USD","DEM","FRF"
"170","1979","583,4","7,3","Markka","5,94573","19,47","10,44","1,45","14,68","33,50","16,00","1,097","Kruunu","0,1683","Clearingrupla","0,12085","Punta","0,25667","Dollari","0,47004","Markka","1,0884","Frangi","FIM","SKR","SUR","GBP","USD","DEM","FRF"
"171","1980","651,0","11,6","Markka","5,94573","21,85","11,87","2,08","15,44","36,00","18,00","1,131","Kruunu","0,1742","Clearingrupla","0,11506","Punta","0,26810","Dollari","0,48643","Markka","1,1280","Frangi","FIM","SKR","SUR","GBP","USD","DEM","FRF"
"172","1981","729,1","12,0","Markka","5,94573","24,62","13,47","2,03","14,09","40,00","21,00","1,166","Kruunu","0,1671","Clearingrupla","0,11453","Punta","0,23175","Dollari","0,52271","Markka","1,2513","Frangi","FIM","SKR","SUR","GBP","USD","DEM","FRF"
"173","1982","796,9","9,3","Markka","5,94573","27,24","15,29","3,39","14,79","45,00","24,00","1,298","Kruunu","0,1510","Clearingrupla","0,11872","Punta","0,20747","Dollari","0,50312","Markka","1,3578","Frangi","FIM","SKR","SUR","GBP","USD","DEM","FRF"
"174","1983","864,9","8,5","Markka","5,94573","29,90","16,25","2,82","16,46","50,00","25,00","1,375","Kruunu","0,1335","Clearingrupla","0,11826","Punta","0,17953","Dollari","0,45744","Markka","1,3600","Frangi","FIM","SKR","SUR","GBP","USD","DEM","FRF"
"175","1984","925,5","7,0","Markka","5,94573","33,50","17,32","2,36","17,59","52,50","28,00","1,374","Kruunu","0,1359","Clearingrupla","0,12464","Punta","0,16639","Dollari","0,47248","Markka","1,4478","Frangi","FIM","SKR","SUR","GBP","USD","DEM","FRF"
"176","1985","979,8","5,9","Markka","5,94573","35,43","18,41","3,32","21,75","55,00","32,00","1,385","Kruunu","0,1348","Clearingrupla","0,12500","Punta","0,16113","Dollari","0,47299","Markka","1,4409","Frangi","FIM","SKR","SUR","GBP","USD","DEM","FRF"
"177","1986","1015,1","3,6","Markka","5,94573","37,55","19,06","3,69","25,38","57,50","32,00","1,401","Kruunu","0,1384","Clearingrupla","0,13407","Punta","0,19693","Dollari","0,42637","Markka","1,3596","Frangi","FIM","SKR","SUR","GBP","USD","DEM","FRF"
"178","1987","1052,2","3,7","Markka","5,94573","40,23","19,03","4,34","21,30","61,00","33,00","1,438","Kruunu","0,1436","Clearingrupla","0,13864","Punta","0,22707","Dollari","0,40793","Markka","1,3615","Frangi","FIM","SKR","SUR","GBP","USD","DEM","FRF"
"179","1988","1103,8","4,9","Markka","5,94573","43,81","19,15","4,50","17,66","65,00","34,00","1,460","Kruunu","0,1451","Clearingrupla","0,13394","Punta","0,23861","Dollari","0,41850","Markka","1,4164","Frangi","FIM","SKR","SUR","GBP","USD","DEM","FRF"
"180","1989","1176,4","6,6","Markka","5,94573","47,92","20,00","3,30","17,42","70,50","36,00","1,499","Kruunu","0,1467","Clearingrupla","0,14182","Punta","0,23283","Dollari","0,43708","Markka","1,4799","Frangi","FIM","SKR","SUR","GBP","USD","DEM","FRF"
"181","1990","1248,3","6,1","Markka","5,94573","52,68","19,89","2,93","15,00","77,00","40,00","1,543","Kruunu","0,1526","Clearingrupla","0,14648","Punta","0,26103","Dollari","0,42157","Markka","1,4176","Frangi","FIM","SKR","SUR","GBP","USD","DEM","FRF"
"182","1991","1299,6","4,1","Markka","5,94573","56,00","16,62","3,11","13,95","85,00","42,00","1,496","Kruunu","..","Rupla","0,14023","Punta","0,24716","Dollari","0,41017","Markka","1,3949","Frangi","FIM","SKR","RUB ","GBP","USD","DEM","FRF"
"183","1992","1333,3","2,6","Markka","5,94573","56,81","16,33","3,72","13,73","88,00","48,00","1,296","Kruunu","..","Rupla","0,12698","Punta","0,22306","Dollari","0,34760","Markka","1,1784","Frangi","FIM","SKR","RUB ","GBP","USD","DEM","FRF"
"184","1993","1361,4","2,1","Markka","5,94573","56,98","16,11","3,16","13,55","88,00","50,00","1,361","Kruunu","..","Rupla","0,11652","Punta","0,24716","Dollari","0,28915","Markka","0,9905","Frangi","FIM","SKR","RUB ","GBP","USD","DEM","FRF"
"185","1994","1376,2","1,1","Markka","5,94573","58,29","15,71","3,62","16,52","88,00","50,00","1,480","Kruunu","..","Rupla","0,12528","Punta","0,19163","Dollari","0,31086","Markka","1,0632","Frangi","FIM","SKR","RUB ","GBP","USD","DEM","FRF"
"186","1995","1389,8","1,0","Markka","5,94573","61,37","12,95","3,68","20,36","79,00","52,00","1,633","Kruunu","..","Rupla","0,14512","Punta","0,22905","Dollari","0,32818","Markka","1,1431","Frangi","FIM","SKR","RUB ","GBP","USD","DEM","FRF"
"187","1996","1398,0","0,6","Markka","5,94573","63,73","12,84","2,82","17,40","80,00","52,00","1,460","Kruunu","..","Rupla","0,13959","Punta","0,21784","Dollari","0,32755","Markka","1,1138","Frangi","FIM","SKR","RUB ","GBP","USD","DEM","FRF"
"188","1997","1415,3","1,2","Markka","5,94573","65,00","13,24","3,11","21,68","80,00","54,00","1,471","Kruunu","..","Rupla","0,11756","Punta","0,19252","Dollari","0,33401","Markka","1,1244","Frangi","FIM","SKR","RUB ","GBP","USD","DEM","FRF"
"189","1998","1435,0","1,4","Markka","5,94573","67,12","13,68","3,66","21,74","80,00","56,00","1,488","Kruunu","..","Rupla","0,11303","Punta","0,18721","Dollari","0,32915","Markka","1,1035","Frangi","FIM","SKR","RUB ","GBP","USD","DEM","FRF"
"190","1999","1451,7","1,2","Markka","5,94573","69,03","13,83","4,42","17,54","80,00","58,00","1,481","Kruunu","4,45","Rupla","0,11079","Punta","0,1793","Dollari","0,32890","Markka","1,1030","Frangi","FIM","SKR","RUB ","GBP","USD","DEM","FRF"
"191","2000","1500,4","3,4","Markka","5,94573","71,94","13,91","3,20","18,24","81,50","60,00","1,420","Kruunu","4,37","Rupla","0,10251","Punta","0,1553","Dollari","0,32890","Markka","1,1030","Frangi","FIM","SKR","RUB ","GBP","USD","DEM","FRF"
"192","2001","1539,3","2,6","Markka","5,94573","75,33","14,00","3,58","18,00","82,50","64,00","1,557","Kruunu","4,39","Rupla","0,10459","Punta","0,1506","Dollari","0,32890","Markka","1,1030","Frangi","FIM","SKR","RUB ","GBP","USD","DEM","FRF"
"193","2002","1563,3","1,6","Euro","1","12,07","2,41","0,61","2,34","13,62","13,60","9,161","Kruunu","29,73","Rupla","0,62883","Punta","0,9456","Dollari","1","Euro","1","Euro","EUR","SKR","RUB ","GBP","USD","EUR","EUR"
"194","2003","1576,9","0,9","Euro","1","12,50","2,43","0,58","2,18","8,62","14,00","9,124","Kruunu","34,66","Rupla","0,69199","Punta","1,1312","Dollari","1","Euro","1","Euro","EUR","SKR","RUB ","GBP","USD","EUR","EUR"
"195","2004","1580,0","0,2","Euro","1","12,91","2,46","0,72","2,19","8,62","14,40","9,124","Kruunu","35,81","Rupla","0,67866","Punta","1,2439","Dollari","1","Euro","1","Euro","EUR","SKR","RUB ","GBP","USD","EUR","EUR"
"196","2005","1593,5","0,9","Euro","1","13,38","2,48","0,65","2,52","8,62","14,60","9,282","Kruunu","35,19","Rupla","0,68380","Punta","1,2441","Dollari","1","Euro","1","Euro","EUR","SKR","RUB ","GBP","USD","EUR","EUR"
"197","2006","1622,0","1,6","Euro","1","13,80","2,44","0,60","2,58","8,62","14,90","9,254","Kruunu","34,11","Rupla","0,68173","Punta","1,2556","Dollari","1","Euro","1","Euro","EUR","SKR","RUB ","GBP","USD","EUR","EUR"
"198","2007","1662,0","2,5","Euro","1","14,16","2,39","0,74","2,62","8,72","15,20","9,250","Kruunu","35,02","Rupla","0,68434","Punta","1,3705","Dollari","1","Euro","1","Euro","EUR","SKR","RUB ","GBP","USD","EUR","EUR"
"199","2008","1730,0","4,1","Euro","1","14,89","2,88","0,76","2,79","9,90","15,60","9,62","Kruunu","36,42","Rupla","0,79628","Punta","1,4708","Dollari","1","Euro","1","Euro","EUR","SKR","RUB ","GBP","USD","EUR","EUR"
"200","2009","1730,0","0,0","Euro","1","15,26","2,29","0,76","2,78","9,90","15,60","9,62","Kruunu","44,14","Rupla","0,89094","Punta","1,3948","Dollari","1","Euro","1","Euro","EUR","SKR","RUB ","GBP","USD","EUR","EUR"
"201","2010","1751,0","1,2","Euro","1","15,34","1,93","0,68","3,06","11,69","15,60","9,69","Kruunu","40,26","Rupla","0,85784","Punta","1,3257","Dollari","1","Euro","1","Euro","EUR","SKR","RUB ","GBP","USD","EUR","EUR"
"202","2011","1812,0","3,4","Euro","1","15,83","2,33","0,80","4,25","11,71","15,15","8,6515","Kruunu","40,88","Rupla","0,86788","Punta","1,392","Dollari","1","Euro","1","Euro","EUR","SKR","RUB ","GBP","USD","EUR","EUR"
"203","2012","1857,0","3,0","Euro","1","16,68","2,92","0,82","4,11","12,66","15,15","8,7041","Kruunu","39,9262","Rupla","0,81087","Punta","1,2848","Dollari","1","Euro","1","Euro","EUR","SKR","RUB ","GBP","USD","EUR","EUR"
"204","2013","1890","1,5","Euro","1","16,87","3,06","0,94","3,56","12,85","15,15","8,6515","Kruunu","42,3370","Rupla","0,84926","Punta","1,3281","Dollari","1","Euro","1","Euro","EUR","SKR","RUB ","GBP","USD","EUR","EUR"
"205","2014","1910","0,5","Euro","1","17,15","2,87","0,87","3,59","13,69","15,15","9,0985","Kruunu","50,9518","RUB","0,80612","Punta","1,3285","Dollari","1","Euro","1","Euro","EUR","SKR","RUB","GBP","USD","EUR","EUR"
"206","2015","1906","-0,2","Euro","1","17,36","2,48","0,93","3,87","13,69","15,15","9,3535","Kruunu","68,072","RUB","0,72584","Punta","1,1095","Dollari","1","Euro","1","Euro","EUR","SKR","RUB","GBP","USD","EUR","EUR"
"207","2016","1913","0,4","Euro","1","17,36","2,46","0,97","3,66","13,69","13","9,4689","Kruunu","74,1446","RUB","0,81948","Punta","1,1069","Dollari","1","Euro","1","Euro","EUR","SKR","RUB","GBP","USD","EUR","EUR"
"208","2017","1927","0,5","Euro","1","17,36","2,58","0,85","3,99","13,69","15","9,6388","Kruunu","66,0045","RUB","0,87708","Punta","1,1315","Dollari","1","Euro","1","Euro","EUR","SKR","RUB","GBP","USD","EUR","EUR"
"209","2018","1948","1,09","Euro","1","17,36 ","2,58","0,85","3,99","14,24","15","10,262","Kruunu","74,1316","RUB","0,88488","Punta","1,1803","Dollari","1","Euro","1","EUR ","EUR","SKR","RUB","GBP","USD","EUR","EUR "
"210","2019","1964","1,09","Euro","1","17,36","2,58","0,85","3,99","14,59","15","10,5257","Kruunu","73,2851","RUB","0,88488","Punta","1,1284","Dollari","1","Euro","1","Euro","EUR","SKR","RUB","GBP","USD","EUR","EUR"
